DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5522814097078663040', 0.000579, 128.451947,-44.447523,-0.030900, 0.140000,-1.746000, 1.106000, 17.993900, 1.152700,
b'Gaia DR2 5522814092777276032', 0.001082, 128.450778,-44.447487, 0.087500, 0.081100,-1.387000, 1.480000, 16.901900, 1.431700,
b'Gaia DR2 5522814097074318976', 0.001535, 128.452123,-44.448492, 0.022700, 0.353200,-1.353000, 1.471000, 19.316600, 0.764100,
b'Gaia DR2 5522814097074309376', 0.002069, 128.451164,-44.444992, 0.376100, 0.275300,-0.912000, 0.442000, 19.033800, 1.035900,
b'Gaia DR2 5522814097078661504', 0.002222, 128.449351,-44.448003, 0.091800, 0.128800,-0.796000, 1.341000, 17.495400, 1.145300,
b'Gaia DR2 5522814092774877312', 0.002367, 128.448796,-44.447155, 0.550400, 0.123300,-1.390000, 0.882000, 17.719600, 1.085900,
b'Gaia DR2 5522814092774877696', 0.003022, 128.456328,-44.446920,-0.033700, 0.275200,-0.859000, 1.385000, 19.066200, 1.066100,
b'Gaia DR2 5522814097074330496', 0.003879, 128.457348,-44.447909, 0.030900, 0.283600, 2.104000, 2.732000, 19.094900, 0.457000,
b'Gaia DR2 5522814092774018304', 0.004726, 128.456977,-44.443762,-0.075800, 0.382300,-1.189000, 1.518000, 19.623400, 0.726500,
b'Gaia DR2 5522814165793774464', 0.005697, 128.444152,-44.447478, 0.575000, 0.231200,-1.063000, 0.768000, 18.739900, 0.657000,
b'Gaia DR2 5522814092774001408', 0.005948, 128.454631,-44.441284, 0.789600, 0.422300,-2.489000, 0.581000, 19.748500, 0.981700,
b'Gaia DR2 5522814161493478656', 0.006125, 128.450452,-44.440969, 0.200100, 0.164700,-3.476000, 6.689000, 18.453900, 0.756900,
b'Gaia DR2 5522814097074339456', 0.006539, 128.458724,-44.451499, 0.724900, 0.282500,-4.892000, 3.991000, 19.023100, 0.464500,
b'Gaia DR2 5522814092773997312', 0.006883, 128.461265,-44.449088, 0.063100, 0.107600,-1.183000, 1.591000, 17.780400, 1.340400,
b'Gaia DR2 5522814097074333952', 0.007387, 128.454469,-44.454163, 0.254100, 0.391000,-4.010000, 4.562000, 19.532600, 0.681600,
b'Gaia DR2 5522814097078667264', 0.007567, 128.462687,-44.447314, 0.030700, 0.058700,-1.372000, 1.146000, 16.105600, 1.617800,
b'Gaia DR2 5522814097074337664', 0.007881, 128.456067,-44.454307,-0.222600, 0.400900,-1.171000, 0.691000, 19.477100, 0.861500,
