DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5309059347178372608', 0.000682, 143.978940,-54.030723, 1.759400, 0.494300,-13.521000, 4.412000, 18.078000, 0.641600,
b'Gaia DR2 5309059450276401536', 0.001657, 143.980045,-54.029191, 0.680100, 0.206400,-2.174000, 3.006000, 18.258200, 0.983800,
b'Gaia DR2 5309062302115871744', 0.001950, 143.974908,-54.029528,-0.095000, 0.222900,-5.101000, 1.530000, 18.826900, 0.478600,
b'Gaia DR2 5309059450257589632', 0.001992, 143.977428,-54.028342, 0.304400, 0.256900,-5.409000, 5.798000, 18.836800, 0.432900,
b'Gaia DR2 5309059450257591296', 0.002100, 143.979374,-54.028379, 0.845300, 0.439100,-10.014000, 8.040000, 19.752400, 0.720600,
b'Gaia DR2 5309059347178371712', 0.002125, 143.979739,-54.032149, 0.347100, 0.361200,-3.887000, 3.804000, 19.384400, 0.647300,
b'Gaia DR2 5309062405213900800', 0.002173, 143.976994,-54.028202, 0.838500, 0.440900,-5.713000, 3.364000, 19.462300,,
b'Gaia DR2 5309062297820746752', 0.002215, 143.974889,-54.029017, 0.152000, 0.247600,-4.758000, 4.036000, 18.905900, 0.632800,
b'Gaia DR2 5309062405195089408', 0.002267, 143.976323,-54.028242, 1.388300, 0.488700,-3.542000, 3.002000, 19.701800,,
b'Gaia DR2 5309059450276400768', 0.002357, 143.981246,-54.031651, 0.274800, 0.077300,-4.662000, 3.286000, 16.950900, 0.635700,
b'Gaia DR2 5309059347178372352', 0.002358, 143.980509,-54.032112, 0.365800, 0.480100,-2.978000, 2.789000, 19.763300,,
b'Gaia DR2 5309059450257589504', 0.002443, 143.981887,-54.031097,-0.032900, 0.357500,-3.958000, 3.274000, 19.437800, 1.348400,
b'Gaia DR2 5309059445977110016', 0.002740, 143.981161,-54.028307, 0.157300, 0.214200,-3.707000, 3.041000, 18.797300, 0.665100,
b'Gaia DR2 5309062302134683392', 0.003215, 143.972716,-54.031221, 0.197000, 0.076200,-3.996000, 2.693000, 16.660500, 1.286000,
b'Gaia DR2 5309059347197183488', 0.003322, 143.976357,-54.033486, 0.121000, 0.236900,-4.326000, 3.852000, 18.838300, 0.117600,
b'Gaia DR2 5309062400899962624', 0.003678, 143.977007,-54.026664, 0.351100, 0.280000,-4.588000, 3.535000, 19.080700, 0.971200,
b'Gaia DR2 5309059445962461696', 0.003800, 143.984413,-54.030044,-0.006700, 0.096100,-4.056000, 3.229000, 16.940100, 1.525600,
b'Gaia DR2 5309062405195089024', 0.004679, 143.973447,-54.026431, 0.272500, 0.162200,-2.842000, 1.688000, 17.541200, 1.514000,
b'Gaia DR2 5309059342890297984', 0.005352, 143.975718,-54.035483, 0.155000, 0.164700,-3.268000, 2.464000, 18.205900, 0.853800,
b'Gaia DR2 5309059445962458240', 0.005778, 143.987411,-54.031913,-0.005500, 0.339300,-5.045000, 3.918000, 19.239400, 0.711000,
b'Gaia DR2 5309059342884728320', 0.005956, 143.982793,-54.035532, 0.460300, 0.169800,-3.627000, 3.296000, 18.317700, 0.751400,
b'Gaia DR2 5309062302134681344', 0.006141, 143.969712,-54.034072, 0.309500, 0.210600,-5.490000, 4.744000, 18.800600, 0.786000,
b'Gaia DR2 5309062405213901312', 0.006180, 143.973548,-54.024691, 0.818000, 0.065500,-6.989000, 3.196000, 16.643400, 0.597000,
b'Gaia DR2 5309059450257598336', 0.006252, 143.987154,-54.027158,-0.051700, 0.347400,-1.889000, 1.314000, 19.309400, 1.296700,
b'Gaia DR2 5309059450257592320', 0.006319, 143.988149,-54.032291,-0.018300, 0.301800,-2.090000, 1.877000, 19.074700, 0.689300,
b'Gaia DR2 5309062400899971712', 0.006386, 143.976484,-54.023978,-0.041900, 0.193100,-5.331000, 4.872000, 18.483300, 1.005900,
b'Gaia DR2 5309062302115868800', 0.006434, 143.967790,-54.027879, 0.099800, 0.383000,-2.601000, 1.061000, 19.442100, 0.884600,
b'Gaia DR2 5309062302115873024', 0.006651, 143.969741,-54.025722,-0.138800, 0.435600,-4.423000, 3.127000, 19.648200, 0.623100,
b'Gaia DR2 5309059450276400512', 0.006655, 143.986454,-54.034699, 0.200000, 0.070800,-4.163000, 2.776000, 16.880600, 0.745200,
b'Gaia DR2 5309059342883234176', 0.007043, 143.984230,-54.036312, 0.238400, 0.135400,-4.201000, 5.910000, 17.958900, 0.852100,
b'Gaia DR2 5309059450276402560', 0.007074, 143.990008,-54.030589, 0.421600, 0.062500,-6.311000, 7.024000, 16.500600, 0.531000,
b'Gaia DR2 5309062297820751232', 0.007148, 143.966731,-54.027521, 0.122800, 0.344000,-0.818000, 6.831000, 18.329700, 0.908900,
b'Gaia DR2 5309062405195096832', 0.007203, 143.978142,-54.023089,-0.303100, 0.492600,-1.561000, 1.892000, 19.786200, 0.427000,
b'Gaia DR2 5309062297820736768', 0.007366, 143.966079,-54.032672,-0.023800, 0.177700,-2.962000, 2.920000, 18.377500, 1.298600,
b'Gaia DR2 5309059342884728448', 0.007609, 143.986168,-54.036181, 0.065400, 0.196000,-3.089000, 3.491000, 18.660500, 0.945100,
b'Gaia DR2 5309059445969513344', 0.007611, 143.986398,-54.024522,-0.141200, 0.340100,-3.886000, 3.020000, 19.343100, 0.903800,
b'Gaia DR2 5309062400899971584', 0.007743, 143.979284,-54.022594, 0.172900, 0.242900,-2.775000, 3.160000, 18.787700, 1.102800,
b'Gaia DR2 5309059450257588224', 0.007932, 143.988117,-54.035536, 0.638200, 0.470900,-5.417000, 4.467000, 19.681600, 0.604100,
b'Gaia DR2 5309059347178360960', 0.008033, 143.969512,-54.036617,-0.170400, 0.460800,-4.443000, 3.667000, 19.651500, 0.544000,
b'Gaia DR2 5309062302134681728', 0.008102, 143.964177,-54.030725, 0.096400, 0.093500,-3.422000, 3.177000, 17.042600, 1.801800,
b'Gaia DR2 5309062302115869824', 0.008138, 143.966321,-54.025879, 0.217800, 0.432100,-2.979000, 4.911000, 19.611500, 0.746700,
b'Gaia DR2 5309059347197180032', 0.008150, 143.970362,-54.037118,-0.136600, 0.101800,-3.158000, 2.478000, 17.005400, 1.867500,
b'Gaia DR2 5309062400899971328', 0.008292, 143.974336,-54.022282, 0.128800, 0.102800,-3.890000, 3.226000, 17.520200, 0.660400,
b'Gaia DR2 5309062405195096192', 0.008407, 143.975369,-54.022049,-0.072800, 0.365900,-8.584000, 7.281000, 19.330300, 0.708500,
b'Gaia DR2 5309059445962470144', 0.008423, 143.985761,-54.023230, 0.405800, 0.164100,-5.411000, 3.980000, 18.196900, 0.837100,
