DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 6054126840354143616', 0.000802, 182.580473,-63.879759, 0.278100, 0.254700,-4.550000, 0.672000, 18.602900, 1.163400,
b'Gaia DR2 6054126840354154368', 0.001558, 182.582210,-63.878317, 0.305800, 0.430500,-6.893000, 0.580000, 19.681500, 0.859800,
b'Gaia DR2 6054126836055779712', 0.002403, 182.580513,-63.876839, 0.553200, 0.296000,-6.837000, 1.931000, 18.533500, 0.985700,
b'Gaia DR2 6054126840354145792', 0.002678, 182.584615,-63.880419,-0.047300, 0.101900,-4.685000, 0.863000, 16.608000, 2.177100,
b'Gaia DR2 6054126840401477248', 0.002694, 182.583330,-63.881174, 0.187500, 0.085700,-4.800000, 0.777000, 16.606800, 1.733900,
b'Gaia DR2 6054126629895942272', 0.003189, 182.583468,-63.881772, 0.451400, 0.033300,-9.337000, 0.655000, 15.457200, 0.412500,
b'Gaia DR2 6054126840354166400', 0.003601, 182.583323,-63.876063, 0.506100, 0.280300,-4.695000, 2.751000, 18.893400, 0.911100,
b'Gaia DR2 6054126634195705344', 0.003809, 182.582639,-63.882688, 0.968300, 0.473600,-8.790000, 2.352000, 19.744500, 0.212100,
b'Gaia DR2 6054126634195714048', 0.003843, 182.586382,-63.881383,-0.049500, 0.257500,-5.511000, 0.983000, 18.921900, 0.842900,
b'Gaia DR2 6054126634195718784', 0.003954, 182.587812,-63.880343, 0.032400, 0.081900,-4.859000, 0.911000, 16.230300, 2.330500,
b'Gaia DR2 6054126634195718912', 0.004689, 182.589315,-63.880695, 0.474600, 0.361100,-5.606000, 1.167000, 19.450100, 0.330500,
b'Gaia DR2 6054126840354171904', 0.004857, 182.585069,-63.875044,-0.299400, 0.463000,-8.506000, 1.532000, 18.997800, 1.499600,
b'Gaia DR2 6054126840354172160', 0.004878, 182.582974,-63.874584, 0.079800, 0.417000,-4.762000, 1.461000, 19.339100, 0.749200,
b'Gaia DR2 6054126634195709440', 0.004879, 182.587669,-63.882348,-0.009200, 0.087000,-6.940000, 0.914000, 17.350800, 0.807200,
b'Gaia DR2 6054126634243046528', 0.004992, 182.586792,-63.882891,-0.069000, 0.096900,-4.554000, 0.457000, 16.591000, 1.952100,
b'Gaia DR2 6054126806042178432', 0.005042, 182.574148,-63.883694, 0.288800, 0.047100,-6.776000, 2.531000, 15.941700, 1.233900,
b'Gaia DR2 6054126805994425088', 0.005048, 182.572432,-63.875109, 0.125900, 0.256000,-5.019000, 0.606000, 19.121200, 1.160400,
b'Gaia DR2 6054126634243048192', 0.005123, 182.589884,-63.881245, 0.593800, 0.421000,-8.686000,-5.600000, 19.491600, 0.228300,
b'Gaia DR2 6054126801699143808', 0.005296, 182.567197,-63.879086, 0.380100, 0.211300,-4.238000,-3.040000, 18.685900, 1.051900,
b'Gaia DR2 6054126805994396032', 0.005384, 182.567720,-63.880974, 0.302500, 0.450400,-5.829000, 0.119000, 19.840200, 0.663900,
b'Gaia DR2 6054126634195720448', 0.005410, 182.591266,-63.880293, 0.086400, 0.487100,-5.815000, 1.213000, 19.932900, 0.647200,
b'Gaia DR2 6054126840354174080', 0.005580, 182.584753,-63.874148,-0.172000, 0.220100,-5.045000, 0.279000, 18.622900, 0.966100,
b'Gaia DR2 6054126634243044992', 0.005659, 182.586413,-63.883860, 0.546800, 0.078000,-4.101000,-0.234000, 16.668500, 0.509400,
b'Gaia DR2 6054126840354171008', 0.005686, 182.590347,-63.876257, 0.675800, 0.213500,-10.054000, 4.632000, 17.950000, 0.463500,
b'Gaia DR2 6054126805996094336', 0.005846, 182.577601,-63.873374, 0.179600, 0.102100,-5.936000, 1.429000, 16.716600, 1.418400,
b'Gaia DR2 6054126634195703680', 0.005880, 182.587490,-63.883796,-0.118300, 0.117000,-4.907000, 1.229000, 17.213600,,
b'Gaia DR2 6054126840355833344', 0.006025, 182.581349,-63.873217, 0.205800, 0.391500,-5.545000, 0.183000, 19.330100, 0.747300,
b'Gaia DR2 6054126801711506304', 0.006167, 182.575051,-63.873290, 0.248400, 0.249900,-4.520000, 1.688000, 18.388300, 1.003100,
b'Gaia DR2 6054126840354171136', 0.006195, 182.591135,-63.875857, 0.454600, 0.480800,-6.823000, 0.976000, 19.806400,,
b'Gaia DR2 6054126806041735040', 0.006286, 182.566783,-63.882210, 0.954700, 0.048300,-8.219000,-2.930000, 16.318100, 0.593800,
b'Gaia DR2 6054126806041739136', 0.006401, 182.564721,-63.878778, 0.341600, 0.090100,-5.002000,-1.497000, 17.357100, 0.619900,
b'Gaia DR2 6054126805994433408', 0.006430, 182.573163,-63.873302, 0.210700, 0.423700,-0.999000,-2.644000, 19.758200, 0.686700,
b'Gaia DR2 6054126836055778944', 0.006436, 182.593675,-63.878113, 0.695200, 0.172000,-7.315000, 0.986000, 18.415200, 0.732100,
b'Gaia DR2 6054126805994437760', 0.007035, 182.574652,-63.872435, 0.228500, 0.117300,-5.978000, 0.930000, 15.877700, 3.261800,
b'Gaia DR2 6054126840401486464', 0.007129, 182.586581,-63.872813, 0.593100, 0.120200,-7.526000, 0.606000, 17.982100, 0.792800,
b'Gaia DR2 6054126805994390656', 0.007253, 182.563596,-63.881450, 0.244300, 0.232600,-5.437000, 0.556000, 18.799400, 0.718400,
b'Gaia DR2 6054126634195693696', 0.007386, 182.587228,-63.885664, 0.991500, 0.417800,-4.547000, 0.463000, 18.680200,,
b'Gaia DR2 6054126840401485056', 0.007567, 182.594171,-63.875429, 0.357300, 0.078800,-3.946000,-1.463000, 17.048300, 0.513900,
b'Gaia DR2 6054126840354182400', 0.007703, 182.590492,-63.873264, 0.222900, 0.177500,-10.270000, 2.255000, 18.133400, 0.756800,
b'Gaia DR2 6054126805996087168', 0.007760, 182.567528,-63.884973,-0.271700, 0.169100,-5.085000, 0.262000, 17.793700, 0.664800,
b'Gaia DR2 6054126634243041536', 0.007790, 182.583415,-63.886750, 0.621200, 0.033200,-11.524000, 1.077000, 9.734400, 1.188300,-10.300000
b'Gaia DR2 6054126629900453888', 0.007791, 182.587380,-63.886091,-0.204600, 0.119500,-5.303000, 1.085000, 15.965600, 1.921100,
b'Gaia DR2 6054126870439065344', 0.007813, 182.570477,-63.872379,-0.328400, 0.209000,-3.829000, 1.855000, 18.454000, 0.563300,
b'Gaia DR2 6054126806042178048', 0.007984, 182.567472,-63.885241,-0.088700, 0.442700,-7.043000, 0.485000, 19.005000,,
b'Gaia DR2 6054126836055785856', 0.008075, 182.580553,-63.871120, 0.489000, 0.182500,-9.257000, 1.571000, 18.362000, 0.647800,
b'Gaia DR2 6054126801696041728', 0.008090, 182.562553,-63.875804,-0.096500, 0.187300,-7.567000, 0.627000, 18.449300, 1.077800,
b'Gaia DR2 6054126805994382720', 0.008280, 182.562523,-63.882908, 0.971700, 0.387800,-12.812000, 1.033000, 19.555500, 0.944600,
b'Gaia DR2 6054126599883747712', 0.008367, 182.580645,-63.887526, 0.235700, 0.187700,-7.191000, 2.889000, 17.644300, 0.237000,
b'Gaia DR2 6054126836079327232', 0.008477, 182.592312,-63.872950, 0.100000, 0.365400,-5.095000, 0.554000, 19.432200, 0.762500,
b'Gaia DR2 6054126805994391808', 0.008635, 182.559878,-63.880520, 0.633900, 0.272400,-6.706000, 0.687000, 19.037400, 0.803500,
b'Gaia DR2 6054126634197398016', 0.008823, 182.592381,-63.885854, 0.348200, 0.225300,-9.095000, 2.142000, 18.352900, 0.548500,
b'Gaia DR2 6054126840401918080', 0.008921, 182.585169,-63.870640, 0.248000, 0.135400,-5.895000, 0.436000, 18.054200, 1.227600,
b'Gaia DR2 6054126874713895552', 0.009092, 182.561320,-63.874692, 0.251900, 0.446200,-9.813000, 2.258000, 19.851100, 0.623100,
