name,const,ra_deg,de_deg,rad_deg,g_mag_lim,large_pm_flag,large_plx_flag
Ferrero 0833-44   ,Vel  ,128.452083 ,-44.446944 ,  0.01500, <20,,
Kronberger 100    ,Vel  ,143.977917 ,-54.030278 ,  0.01167, <20,,
Patchick 121      ,Vel  ,144.839583 ,-52.250278 ,  0.01167, <20,,
Patchick 122      ,Vel  ,145.627917 ,-52.428056 ,  0.01083, <20,,
Strottner 1       ,Vel  ,146.838750 ,-53.503889 ,  0.00917, <20,,
Kronberger 106    ,Vel  ,156.838333 ,-55.111389 ,  0.01500, <20,,
Kronberger 113    ,Car  ,160.791250 ,-62.669722 ,  0.01000, <20,,
Kronberger 119    ,Car  ,161.812500 ,-63.327778 ,  0.01083, <20,,
Kronberger 122    ,Car  ,165.124167 ,-58.841944 ,  0.02417, <20,,
Kronberger 134    ,Cen  ,170.884167 ,-60.533056 ,  0.00917, <20,,
Kronberger 137    ,Cen  ,172.900833 ,-61.525278 ,  0.00833, <20,,
Kronberger 143    ,Cru  ,179.427500 ,-64.177778 ,  0.01667, <20,,
Patchick 123      ,Cru  ,182.579167 ,-63.879167 ,  0.00917, <20,,
