DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 4190845026618296832', 0.018313, 301.220266,-10.568318, 2.296700, 0.035800, 1.017000,-9.452000, 11.520600, 0.328100,-12.260000
b'Gaia DR2 4190844854819582976', 0.031967, 301.251719,-10.581101, 2.273400, 0.038500, 1.378000,-7.479000, 8.798500, 0.059600,
b'Gaia DR2 4191033180545154432', 0.046054, 301.200601,-10.521697, 2.282900, 0.057800, 1.339000,-7.929000, 9.720100, 0.059800,
b'Gaia DR2 4190843446070314752', 0.054037, 301.212583,-10.605177, 2.425300, 0.037300,-1.710000, 3.926000, 11.893900, 0.326100, 8.220000
b'Gaia DR2 4190843171192389120', 0.056156, 301.236201,-10.611052, 1.046100, 0.036700, 2.702000,-2.174000, 10.925100, 0.708800, 16.160000
b'Gaia DR2 4191031462558229888', 0.066478, 301.165416,-10.557218, 2.204300, 0.045300, 1.694000,-7.863000, 10.836000, 0.146800,
b'Gaia DR2 4191033008742681600', 0.070717, 301.161935,-10.544169, 0.716000, 0.038900,-4.452000,-7.905000, 11.709700, 0.679800, 59.230000
b'Gaia DR2 4191031428199218176', 0.073125, 301.159384,-10.565433, 2.292000, 0.051500, 0.972000,-7.862000, 10.076800, 0.101800,
b'Gaia DR2 4191034005178904576', 0.080726, 301.175389,-10.497438, 4.242500, 0.310000, 1.940000,-8.009000, 10.094400, 0.143300,
b'Gaia DR2 4191056850105898752', 0.084888, 301.289237,-10.490547, 1.971800, 0.081100, 1.200000,-7.944000, 9.176600, 0.045500,
b'Gaia DR2 4191034245697094528', 0.109123, 301.149458,-10.483148, 0.558200, 0.034000, 3.679000, 1.745000, 12.111400, 0.656800,-52.250000
b'Gaia DR2 4191034039538658176', 0.110681, 301.130845,-10.508448, 2.228100, 0.042500, 1.528000,-7.918000, 11.349900, 0.224000,
b'Gaia DR2 4191058056995767808', 0.122615, 301.247452,-10.433171, 2.279200, 0.051300, 1.272000,-7.860000, 9.879300, 0.083400,
b'Gaia DR2 4191058228794474624', 0.124192, 301.220599,-10.431369, 2.066900, 0.062200, 1.854000,-7.626000, 12.076900, 0.313800,-3.040000
b'Gaia DR2 4191058091355497472', 0.128056, 301.267942,-10.431609, 0.504300, 0.037800,-3.233000,-4.302000, 10.640300, 0.882900, 94.340000
b'Gaia DR2 4191032424630948224', 0.130002, 301.101394,-10.542353, 0.779900, 0.035900, 0.208000,-1.983000, 11.166400, 0.630700,
b'Gaia DR2 4191032390271202304', 0.132207, 301.098534,-10.552973, 2.348100, 0.108300, 1.361000,-7.929000, 10.172300, 0.120200,
b'Gaia DR2 4190838292109458560', 0.173603, 301.263140,-10.726026, 1.834500, 0.044000, 2.033000,-5.750000, 9.173900, 0.056400,
b'Gaia DR2 4191038128348219520', 0.175743, 301.154791,-10.396926, 1.281900, 0.043900, 1.286000,-10.587000, 11.549100, 0.294200, 33.000000
b'Gaia DR2 4191061699128096640', 0.185075, 301.205102,-10.371929, 2.878400, 0.080200, 0.309000,-8.109000, 10.042300, 0.084200,
b'Gaia DR2 4191025655762461440', 0.202721, 301.041062,-10.629080, 0.510500, 0.039200,-3.141000,-6.691000, 10.765800, 0.732600, 0.380000
b'Gaia DR2 4191062455038791936', 0.206271, 301.152779,-10.364352, 3.356700, 0.090600, 4.617000,-10.740000, 10.814700, 0.180400,
b'Gaia DR2 4191062455042370304', 0.206562, 301.152469,-10.364154, 3.642600, 0.144300, 2.324000,-13.858000, 12.115200,,
b'Gaia DR2 4190832141716269952', 0.227767, 301.228649,-10.782701, 1.565000, 0.044300, 9.112000,-4.799000, 11.201700, 0.169900,
b'Gaia DR2 4191036101123021952', 0.232844, 301.000283,-10.511942, 0.813700, 0.033800,-4.932000, 7.151000, 11.841700, 0.694600,-12.480000
b'Gaia DR2 4190871552336326528', 0.240942, 301.416954,-10.395807, 0.622000, 0.039000,-1.665000,-2.452000, 12.368200, 0.579200,-134.330000
b'Gaia DR2 4190825510286700160', 0.259256, 301.376742,-10.772364, 2.382400, 0.048100, 10.329000, 0.488000, 10.012100, 0.087600,
b'Gaia DR2 4191050360414506368', 0.259319, 301.027897,-10.392061, 1.558400, 0.035600,-13.250000,-2.425000, 12.334500, 0.599900, 46.630000
b'Gaia DR2 4190863477797633024', 0.260547, 301.487022,-10.629380, 2.220800, 0.041800, 1.481000,-7.671000, 11.940000, 0.292000,-15.040000
b'Gaia DR2 4191060702695612800', 0.261418, 301.387102,-10.341952, 0.466400, 0.048800,-5.776000,-2.292000, 11.947700, 0.746900, 41.550000
b'Gaia DR2 4190870762062286848', 0.274872, 301.487142,-10.440484, 0.374700, 0.038600, 7.262000,-14.607000, 12.026900, 0.698900,-26.730000
b'Gaia DR2 4190833619180313984', 0.278121, 301.072467,-10.784046, 0.909200, 0.037800,-0.202000, 1.665000, 11.242300, 0.653500,-13.380000
b'Gaia DR2 4191074893267721216', 0.286067, 301.122630,-10.290307, 0.363300, 0.050400,-1.895000,-4.731000, 11.258000, 1.003300, 89.880000
b'Gaia DR2 4190824651289835648', 0.288544, 301.388432,-10.799815, 1.667300, 0.043200,-3.295000, 1.408000, 11.339300, 0.362400,-5.530000
b'Gaia DR2 4190830732966986880', 0.289911, 301.176209,-10.839464, 0.434200, 0.039700,-0.604000,-4.057000, 11.659800, 0.901500,-8.040000
b'Gaia DR2 4191025243445449856', 0.292667, 300.955326,-10.660779, 1.478800, 0.035300, 12.463000, 0.797000, 10.163400, 0.739100,-87.680000
b'Gaia DR2 4191061218091723008', 0.298246, 301.377614,-10.292875, 0.954200, 0.066500, 5.831000, 4.420000, 11.402800, 0.729400,-85.080000
b'Gaia DR2 4190818707058509184', 0.302370, 301.254741,-10.856564, 2.146200, 0.038600, 1.911000,-10.243000, 12.073600, 0.362400,-18.670000
b'Gaia DR2 4191065062083352960', 0.303110, 301.244178,-10.252044, 1.871000, 0.047600, 1.287000,-9.300000, 12.157600, 0.329900,
b'Gaia DR2 4191051356846951936', 0.304120, 300.984678,-10.373720, 0.966500, 0.034800,-3.797000,-7.472000, 10.683000, 0.637400,
b'Gaia DR2 4190830629887762304', 0.307423, 301.173437,-10.856760, 2.232600, 0.036500, 1.625000,-8.032000, 11.879900, 0.289300,-10.380000
b'Gaia DR2 4191075649181990272', 0.307630, 301.069034,-10.293007, 0.720200, 0.043300, 1.274000,-2.652000, 9.480000, 1.227800,-70.360000
b'Gaia DR2 4191023525458528640', 0.309808, 300.949164,-10.689673, 0.217200, 0.035300,-3.474000,-4.745000, 12.223200, 0.800400,-11.730000
b'Gaia DR2 4191075683541726976', 0.310357, 301.089680,-10.278485, 2.570200, 0.043200, 5.412000, 0.170000, 11.044100, 0.221600,
b'Gaia DR2 4191049948097683584', 0.314855, 300.965431,-10.382089, 0.246900, 0.034900,-1.334000, 1.174000, 12.258200, 0.741300,
b'Gaia DR2 4191049913737943808', 0.319536, 300.953023,-10.392814, 0.820100, 0.044900,-3.804000,-6.141000, 11.376700, 0.779300, 4.680000
b'Gaia DR2 4191076851769301760', 0.322700, 301.215742,-10.232719, 0.492100, 0.062500,-2.618000,-5.269000, 10.469000, 0.897200,-5.890000
b'Gaia DR2 4191076267657274880', 0.322818, 301.143970,-10.244260, 2.490500, 0.042500, 1.567000,-4.475000, 11.337700, 0.341000,-30.070000
b'Gaia DR2 4191077122351518464', 0.335416, 301.196048,-10.221548, 1.813000, 0.055900,-7.992000,-2.243000, 12.371600, 0.467600,
b'Gaia DR2 4190826644158017152', 0.341354, 301.528225,-10.734754, 1.598000, 0.038400, 8.028000,-5.715000, 11.621900, 0.485800,-34.870000
b'Gaia DR2 4191055239497431296', 0.347311, 300.994236,-10.299098, 1.230200, 0.073800,-0.924000,-1.616000, 10.180100, 0.581800,-15.930000
b'Gaia DR2 4190832691471518208', 0.354282, 301.040939,-10.854812, 0.353900, 0.036700,-5.728000, 0.629000, 11.999800, 0.751600,-63.020000
b'Gaia DR2 4191026617834986752', 0.355178, 300.897654,-10.687330, 0.880500, 0.041300, 2.619000,-4.677000, 10.896800, 0.637700,-17.250000
b'Gaia DR2 4190851211371305216', 0.355837, 301.587816,-10.625597, 0.815900, 0.038200,-1.533000,-3.258000, 10.467100, 0.747700,-6.310000
b'Gaia DR2 4191026892712896896', 0.368921, 300.874982,-10.665749, 0.773600, 0.038700, 1.264000,-4.524000, 12.296800, 0.290200, 6.510000
b'Gaia DR2 4191055514375364224', 0.377304, 300.969930,-10.280359, 2.262000, 0.079700,-9.766000,-14.483000, 11.099700, 0.625200, 21.140000
b'Gaia DR2 4191053006114437248', 0.383110, 300.885395,-10.382027, 0.354700, 0.047600,-5.655000,-3.774000, 11.252200, 0.837000,-41.270000
b'Gaia DR2 4191079664972157440', 0.383499, 301.049165,-10.216732, 2.354500, 0.041100, 6.724000,-13.205000, 12.070600, 0.288600,-40.720000
b'Gaia DR2 4190847156921801088', 0.385377, 301.581415,-10.731851, 0.203300, 0.038700,-5.619000,-3.955000, 12.046900, 0.902200, 94.950000
b'Gaia DR2 4190829255497673472', 0.386688, 301.068907,-10.906449, 0.329300, 0.042300, 0.774000,-4.263000, 11.756700, 1.028300,-69.600000
b'Gaia DR2 4190877359129042688', 0.389134, 301.573752,-10.357066, 1.637800, 0.207900,-11.265000,-0.641000, 9.865000, 0.669500, 23.410000
b'Gaia DR2 4190817195229943808', 0.396322, 301.301744,-10.945522, 1.647100, 0.048100, 7.666000, 1.731000, 9.806300, 0.644400, 6.730000
b'Gaia DR2 4191083547622590720', 0.396722, 301.275131,-10.160424, 1.157100, 0.047800,-5.283000,-3.628000, 11.906500, 0.325300,-25.120000
b'Gaia DR2 4190823242544254720', 0.400015, 301.566169,-10.784751, 0.266500, 0.038100, 4.143000,-10.070000, 11.465500, 0.632700,-99.010000
b'Gaia DR2 4191053414132051584', 0.402100, 300.886249,-10.341950, 1.870700, 0.033100,-9.457000,-9.178000, 12.345100, 0.413800, 46.030000
b'Gaia DR2 4190823345623086080', 0.402650, 301.573564,-10.778887, 1.224000, 0.166300,-3.267000,-1.600000, 10.559800, 2.839000,
b'Gaia DR2 4190822074312754176', 0.406161, 301.546409,-10.819817, 1.870900, 0.087700,-2.029000, 0.989000, 10.898300, 0.351100,-34.940000
b'Gaia DR2 4190880176630792320', 0.431379, 301.562699,-10.270535, 0.714800, 0.356900, 5.105000, 4.322000, 12.094900, 0.415900,-6.510000
b'Gaia DR2 4191067918240644992', 0.433034, 301.549972,-10.254418, 2.293700, 0.043200, 1.417000,-8.062000, 10.740600, 0.171600,
b'Gaia DR2 4190877256052824576', 0.436722, 301.627415,-10.354208, 0.362400, 0.071400,-0.927000,-12.649000, 10.925900, 1.147100,
b'Gaia DR2 4191081799575221120', 0.440430, 301.169058,-10.119072, 0.839200, 0.059500,-1.846000,-2.084000, 11.346100, 0.638400,
b'Gaia DR2 4191068227479018624', 0.440894, 301.527111,-10.222228, 0.619500, 0.039600,-4.607000,-6.831000, 11.931200, 0.661600, 87.580000
