DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5588806132129319680', 0.001711, 114.680950,-33.845136, 0.219700, 0.268600, 0.422000, 1.014000, 19.113100,,
b'Gaia DR2 5588806127837945216', 0.002098, 114.680512,-33.844696, 0.071500, 0.053300,-0.384000, 1.226000, 16.510900, 0.916100,
b'Gaia DR2 5588806132127998464', 0.002260, 114.680615,-33.844067, 1.325600, 0.212600,-10.297000, 12.354000, 18.940100, 0.949300,
b'Gaia DR2 5588806132138143872', 0.002578, 114.685235,-33.843215,-0.073800, 0.076500,-0.429000, 1.299000, 17.141300, 0.910200,
b'Gaia DR2 5588806132129304960', 0.003159, 114.686768,-33.844549, 0.046200, 0.432500, 0.245000,-0.168000, 19.875200, 0.451600,
b'Gaia DR2 5588806132129307904', 0.003458, 114.686867,-33.846339, 0.308300, 0.356100,-4.769000,-2.720000, 19.507500, 0.706600,
b'Gaia DR2 5588806127837950592', 0.003785, 114.679332,-33.842777, 0.240700, 0.411300,-0.939000, 1.340000, 19.827600, 0.496100,
b'Gaia DR2 5588806132129321728', 0.003866, 114.678809,-33.843349, 0.649500, 0.315400,-1.201000, 1.021000, 19.428900, 0.707500,
b'Gaia DR2 5588806132127994880', 0.003910, 114.686944,-33.847147, 0.167700, 0.108400,-0.397000,-1.069000, 17.816600, 0.743100,
b'Gaia DR2 5588806132129302528', 0.004089, 114.687795,-33.844045, 0.477500, 0.272500,-0.663000, 0.039000, 19.174300, 0.483400,
b'Gaia DR2 5588806127837957120', 0.005001, 114.682635,-33.840024, 0.246000, 0.181600,-1.932000, 2.133000, 18.551400, 0.678700,
b'Gaia DR2 5588806127837951488', 0.005078, 114.688199,-33.842335, 0.099600, 0.340500, 0.529000, 1.073000, 19.447200, 0.388700,
b'Gaia DR2 5588806333996383744', 0.005218, 114.678880,-33.841075, 0.168400, 0.355600,-0.127000, 0.667000, 19.463800, 0.710100,
b'Gaia DR2 5588806127837929344', 0.005333, 114.684578,-33.850179, 0.225300, 0.178900,-0.403000, 0.307000, 18.656200, 0.785900,
b'Gaia DR2 5588806333996374528', 0.005550, 114.676341,-33.844650, 0.217800, 0.117100,-0.535000, 1.560000, 18.037200, 0.788900,
b'Gaia DR2 5588806127837937152', 0.005720, 114.676633,-33.847177,-0.295900, 0.303400,-0.335000, 1.592000, 19.385300, 0.855500,
