DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 526309145046498304', 0.001831, 12.035881, 67.199864, 0.231600, 0.179900,-2.261000, 0.405000, 18.434800, 0.797500,
b'Gaia DR2 526309041967283584', 0.003347, 12.031475, 67.199410, 0.252800, 0.039400,-2.461000,-0.042000, 15.854500, 0.471700,
b'Gaia DR2 526309041967286144', 0.003842, 12.031493, 67.197061, 0.443400, 0.127900,-2.669000, 0.075000, 17.874100, 0.737800,
b'Gaia DR2 526309041967287168', 0.004853, 12.029987, 67.196118, 0.594900, 0.061600,-5.721000, 3.257000, 16.225200, 0.835500,
b'Gaia DR2 526309145038471040', 0.005010, 12.043022, 67.203876, 0.556800, 0.240800,-1.766000, 0.274000, 19.037500, 0.786500,
b'Gaia DR2 526309145046495104', 0.005076, 12.034815, 67.203655, 0.288700, 0.018900,-2.627000,-0.051000, 13.910900, 0.460300,
b'Gaia DR2 526309145038468352', 0.005244, 12.039028, 67.204232, 0.496600, 0.099300,-2.647000,-0.325000, 17.603800, 0.700300,
b'Gaia DR2 526309041967291392', 0.005730, 12.048661, 67.194343, 0.364600, 0.053000,-2.565000, 0.057000, 16.369600, 0.557000,
b'Gaia DR2 526309145046500736', 0.005875, 12.055201, 67.199193, 0.302900, 0.030300,-2.538000, 0.020000, 15.202000, 0.478500,
b'Gaia DR2 526309041967286400', 0.005901, 12.026752, 67.196126, 0.371900, 0.035600,-2.443000, 0.109000, 15.709700, 0.474000,
b'Gaia DR2 526309041967291776', 0.006029, 12.039965, 67.192973, 0.317400, 0.098500,-2.529000,-0.046000, 17.396000, 0.547000,
b'Gaia DR2 526309140747104768', 0.006120, 12.040296, 67.205121, 0.111100, 0.233200,-2.164000,-0.186000, 18.973600, 0.819700,
b'Gaia DR2 526309041959282816', 0.006136, 12.039459, 67.192872, 1.675500, 0.480900,-2.906000,-0.575000, 18.964800,,
b'Gaia DR2 526309037667655168', 0.006270, 12.034915, 67.193054, 0.190600, 0.322100,-1.815000, 0.124000, 19.215600, 0.670300,
b'Gaia DR2 526309140746917376', 0.006433, 12.055208, 67.201629, 0.212100, 0.164700,-2.888000,-0.342000, 18.396000, 0.746800,
b'Gaia DR2 526309145046493568', 0.006505, 12.043865, 67.205334, 0.432500, 0.353900,-1.697000, 0.246000, 19.408200, 0.831100,
b'Gaia DR2 526309145046503296', 0.006856, 12.057177, 67.197288, 0.431000, 0.137000,-2.327000, 0.048000, 18.041300, 0.762400,
b'Gaia DR2 526309110686759808', 0.007070, 12.021806, 67.198793, 0.208400, 0.300700,-2.004000,-0.026000, 18.338500, 0.423100,
b'Gaia DR2 526309213765971200', 0.007137, 12.025481, 67.203372, 0.165800, 0.159200,-3.053000,-1.359000, 14.249500, 0.711100,
b'Gaia DR2 526309110678739456', 0.007202, 12.021435, 67.198991, 0.702200, 0.284600, 0.015000, 1.184000, 19.001400,,
b'Gaia DR2 526309213757941504', 0.007255, 12.027024, 67.204220, 0.136200, 0.414400,-0.645000, 0.140000, 19.407800, 0.160000,
b'Gaia DR2 526309145046493824', 0.007281, 12.049296, 67.205340, 0.290100, 0.025700,-2.487000,-0.033000, 15.056000, 0.472300,
b'Gaia DR2 526309213765971072', 0.007613, 12.023905, 67.203338, 0.427900, 0.059600,-2.715000, 0.366000, 15.668500, 0.393800,
b'Gaia DR2 526309145046506240', 0.007680, 12.057376, 67.195276, 0.304100, 0.037000,-2.528000,-0.003000, 15.568900, 0.525700,
b'Gaia DR2 526309041967293312', 0.007781, 12.045886, 67.191557, 0.430700, 0.108000,-2.560000,-0.173000, 17.669300, 0.715400,
b'Gaia DR2 526309145038499072', 0.008296, 12.055944, 67.193434, 0.519500, 0.467700,-4.132000, 0.890000, 19.770900, 0.517800,
b'Gaia DR2 526309110686766464', 0.008648, 12.021917, 67.193961, 0.258200, 0.028600,-2.500000,-0.074000, 15.220800, 0.460600,
b'Gaia DR2 526309145046505728', 0.008657, 12.060822, 67.195843, 0.125900, 0.043500,-0.539000,-0.423000, 14.537700, 1.404500,
b'Gaia DR2 526309145046502528', 0.008687, 12.062362, 67.198176, 0.330100, 0.032200,-2.432000, 0.004000, 15.392700, 0.444400,
b'Gaia DR2 526309106390860544', 0.009178, 12.018183, 67.195444, 0.150100, 0.436300, 0.034000, 1.414000, 19.655000, 0.724500,
b'Gaia DR2 526309106387159168', 0.009399, 12.015829, 67.198522, 0.194500, 0.324500,-2.739000, 0.725000, 19.221700, 0.877200,
b'Gaia DR2 526309140747221120', 0.009528, 12.063196, 67.202216,-0.017800, 0.147200,-2.555000,-0.461000, 18.263000, 0.700800,
b'Gaia DR2 526309106387175424', 0.009555, 12.015851, 67.200837, 0.282900, 0.060100,-2.453000,-0.002000, 16.667300, 0.568600,
b'Gaia DR2 526309037667633408', 0.009882, 12.049949, 67.189892,-0.098400, 0.498100,-2.781000, 0.666000, 19.787100, 0.716900,
b'Gaia DR2 526309140743448960', 0.010565, 12.043128, 67.209502,-0.394300, 0.345400,-1.966000,-1.008000, 19.348200, 0.766400,
