DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5241408149083557120', 0.001005, 161.812235,-63.328789, 0.115600, 0.245800,-6.039000, 2.979000, 18.946900, 0.354100,
b'Gaia DR2 5241408149083558912', 0.001481, 161.812916,-63.329261,-0.114600, 0.289400,-3.408000, 1.718000, 19.044700, 0.575800,
b'Gaia DR2 5241408149083561344', 0.001649, 161.811122,-63.329309, 0.091400, 0.433900,-3.890000, 1.867000, 19.630900, 0.405400,
b'Gaia DR2 5241408144777126144', 0.001978, 161.808330,-63.327254, 0.059500, 0.120200,-5.379000, 3.199000, 17.874500, 0.533600,
b'Gaia DR2 5241408149107079040', 0.002472, 161.811993,-63.330248,-0.068200, 0.086700,-3.930000, 1.678000, 17.362800, 0.821000,
b'Gaia DR2 5241408149083550336', 0.002548, 161.807102,-63.327087, 0.307300, 0.460000,-4.435000, 1.809000, 19.689200,,
b'Gaia DR2 5241408149083567744', 0.002557, 161.809861,-63.330031, 0.317500, 0.372000,-4.997000,-0.447000, 19.272400, 0.006700,
b'Gaia DR2 5241408144777125120', 0.002644, 161.814598,-63.330269,-0.018800, 0.079500,-3.771000, 1.839000, 17.230300, 0.871700,
b'Gaia DR2 5241408149083557248', 0.002996, 161.817593,-63.329800, 0.344400, 0.362500,-11.313000, 4.078000, 19.398400, 0.549400,
b'Gaia DR2 5241408149107076864', 0.003073, 161.805786,-63.327320, 0.176700, 0.289200,-3.742000, 2.165000, 19.114200, 0.430400,
b'Gaia DR2 5241408149083540480', 0.003200, 161.806673,-63.325961,-0.356200, 0.490800,-1.734000, 0.484000, 19.520300, 0.156000,
b'Gaia DR2 5241408149083524864', 0.003256, 161.817304,-63.325329, 0.346000, 0.338200,-4.208000, 2.049000, 19.256200, 0.441000,
b'Gaia DR2 5241408149083533568', 0.003277, 161.819715,-63.327160,-0.094700, 0.267500,-3.843000, 2.170000, 19.053000, 0.232800,
b'Gaia DR2 5241408149083537024', 0.003399, 161.807094,-63.325428, 0.049700, 0.399600,-2.857000, 1.522000, 19.476800,,
b'Gaia DR2 5241408149083523712', 0.003488, 161.812754,-63.324301, 0.117600, 0.247800,-3.505000, 1.166000, 18.962700, 0.485400,
b'Gaia DR2 5241408149083541376', 0.004078, 161.821433,-63.328704,-0.036200, 0.250300,-6.342000, 2.898000, 18.975700, 0.302300,
b'Gaia DR2 5241408149107071232', 0.004139, 161.821287,-63.326468, 0.018000, 0.077900,-3.727000, 1.909000, 17.194300, 1.046500,
b'Gaia DR2 5241408149107073152', 0.004238, 161.805271,-63.325092,-0.092800, 0.112600,-3.868000, 1.682000, 17.699500, 0.910900,
b'Gaia DR2 5241408149107070080', 0.004629, 161.808597,-63.323517, 0.211500, 0.093200,-3.798000, 2.279000, 17.417100, 0.781700,
b'Gaia DR2 5241408149107076096', 0.004638, 161.821919,-63.329771, 0.196800, 0.115300,-6.162000, 2.047000, 17.791000, 0.464200,
b'Gaia DR2 5241408149083556864', 0.004769, 161.802058,-63.327033, 0.296800, 0.122800,-3.408000, 1.264000, 16.223800, 0.957800,
b'Gaia DR2 5241408144780004096', 0.004909, 161.814506,-63.332627, 0.042100, 0.247300,-7.117000, 2.894000, 18.866400, 0.395500,
b'Gaia DR2 5241408149083571328', 0.005188, 161.818633,-63.332231, 0.643500, 0.299100,-12.282000, 3.460000, 19.131900, 0.531900,
b'Gaia DR2 5241408149107080960', 0.005336, 161.815326,-63.332976,-0.222300, 0.441100,-3.438000, 1.191000, 19.426700,,
b'Gaia DR2 5241408149083552640', 0.005559, 161.823556,-63.330343, 0.267200, 0.414200,-4.128000, 1.902000, 19.560700, 0.199400,
b'Gaia DR2 5241408144775976064', 0.005653, 161.813125,-63.322142,-0.057600, 0.092300,-4.065000, 1.659000, 17.233500, 0.867300,
b'Gaia DR2 5241408149083576320', 0.005670, 161.800925,-63.329983, 0.454500, 0.296000,-7.097000, 4.387000, 19.103100, 0.531500,
b'Gaia DR2 5241408183443261696', 0.005883, 161.825322,-63.326479, 1.603700, 0.312800,-3.169000, 1.638000, 18.828100, 0.467700,
b'Gaia DR2 5241408149083588736', 0.005944, 161.805302,-63.332769, 0.362300, 0.415200,-2.999000, 2.409000, 19.577900, 0.364500,
b'Gaia DR2 5241408149083541248', 0.005953, 161.825372,-63.329390, 0.325100, 0.309800,-7.976000, 4.529000, 19.154800, 0.457900,
b'Gaia DR2 5241408905021323904', 0.006058, 161.799189,-63.328595, 0.873800, 0.230200,-4.986000, 0.508000, 18.864800, 0.669400,
b'Gaia DR2 5241408149107082752', 0.006284, 161.814037,-63.334043, 0.028900, 0.066800,-6.765000, 2.641000, 16.761600, 0.741700,
b'Gaia DR2 5241408149083580544', 0.006401, 161.799699,-63.330553, 0.279500, 0.312900,-6.039000, 4.273000, 19.165800, 0.329800,
b'Gaia DR2 5241408149083586304', 0.006472, 161.801163,-63.331744, 0.244100, 0.368600,-6.848000, 2.214000, 19.416300, 0.439600,
b'Gaia DR2 5241408183443252352', 0.006652, 161.824977,-63.324165,-0.233000, 0.311000,-3.739000, 1.449000, 19.168000, 0.466300,
