DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5255365212268714112', 0.001036, 157.181356,-58.821745, 0.385900, 0.024000,-0.937000, 3.814000, 14.842500, 0.419700,
b'Gaia DR2 5255365212268706304', 0.004787, 157.178736,-58.825813, 1.285000, 0.018400,-14.657000, 6.804000, 13.781100, 0.371900,
b'Gaia DR2 5255365212252329984', 0.005346, 157.178731,-58.826493, 2.875600, 0.019700,-2.539000, 10.282000, 13.849100, 0.522900,
b'Gaia DR2 5255365968182952704', 0.010082, 157.165289,-58.817963, 0.217400, 0.019600,-5.052000, 2.560000, 14.142700, 0.636900,
b'Gaia DR2 5255365963854335104', 0.019910, 157.146840,-58.815494, 0.358000, 0.021700,-4.635000, 4.335000, 14.444500, 0.287600,
b'Gaia DR2 5255365139218624768', 0.020947, 157.211233,-58.836876, 0.716700, 0.028600,-3.860000, 2.103000, 12.461100, 0.259500,
b'Gaia DR2 5255365177908996608', 0.023613, 157.228698,-58.824463, 0.349900, 0.024300,-6.717000, 2.125000, 14.821200, 0.922700,
b'Gaia DR2 5255365968182953728', 0.023927, 157.145980,-58.807634, 0.154700, 0.047800,-5.235000, 1.821000, 14.292800, 1.510200,
b'Gaia DR2 5255365177892713472', 0.024365, 157.225968,-58.831926, 1.375100, 0.037400, 6.066000,-6.974000, 14.970200, 0.337700,
b'Gaia DR2 5255366002542710400', 0.024810, 157.163444,-58.799145, 0.427100, 0.025300,-9.679000, 5.016000, 14.797100, 0.291700,
b'Gaia DR2 5255365384067450240', 0.028144, 157.214208,-58.798497, 0.380700, 0.018100,-7.082000, 2.888000, 13.475900, 0.387800,
b'Gaia DR2 5255366105621933952', 0.028414, 157.169268,-58.794227, 0.355500, 0.019200,-7.209000, 2.366000, 14.074600, 0.146300,
b'Gaia DR2 5255364765592100224', 0.028518, 157.210315,-58.846570, 0.505800, 0.023700,-6.678000, 2.991000, 14.573300, 0.343400,
b'Gaia DR2 5255366036902421376', 0.028742, 157.134019,-58.808551, 0.540600, 0.024100,-5.389000, 3.436000, 14.289800, 0.326300,
b'Gaia DR2 5255364799951805184', 0.030168, 157.165686,-58.850417, 1.796500, 0.030800,-12.573000, 2.782000, 11.792200, 0.210700, 11.080000
b'Gaia DR2 5255365658945292416', 0.030219, 157.128726,-58.811107, 0.395500, 0.019800,-6.280000, 2.383000, 13.944900, 0.583200,
b'Gaia DR2 5255366002542711296', 0.030786, 157.155970,-58.794368, 0.160600, 0.023400,-5.316000, 2.532000, 14.704900, 0.447300,
b'Gaia DR2 5255366101297263872', 0.031423, 157.188041,-58.790332, 2.712100, 0.018700, 6.332000,-3.062000, 13.403200, 0.409600,
b'Gaia DR2 5255365624585533184', 0.031581, 157.122550,-58.823980, 0.140100, 0.030200,-5.442000, 2.468000, 11.981100, 0.536300,
b'Gaia DR2 5255364971750557440', 0.032028, 157.237974,-58.836825, 0.413600, 0.016700,-10.809000, 5.057000, 13.183600, 0.815800, 34.840000
b'Gaia DR2 5255365349707709056', 0.032261, 157.192010,-58.789736, 2.240800, 0.024400,-14.024000, 4.826000, 14.940700, 0.637300,
b'Gaia DR2 5255366105621950080', 0.032622, 157.186228,-58.789099, 1.307600, 0.027800,-8.374000, 3.995000, 9.512400, 0.659200,-6.090000
b'Gaia DR2 5255365624585521792', 0.034075, 157.119974,-58.830809, 0.374000, 0.023500,-6.414000, 3.794000, 14.493300, 0.854000,
b'Gaia DR2 5255364937390800640', 0.034464, 157.226017,-58.848131, 0.683400, 0.018100,-2.657000,-2.414000, 13.448400, 0.366800,
b'Gaia DR2 5255365109189548672', 0.034719, 157.245808,-58.809017, 0.291600, 0.023400,-3.725000, 2.514000, 14.351300, 0.954900,
b'Gaia DR2 5255365624585523456', 0.034838, 157.117551,-58.828907, 0.215000, 0.023800,-5.083000, 2.433000, 14.321100, 0.443400,
b'Gaia DR2 5255365315347987712', 0.037155, 157.232773,-58.794726, 0.501800, 0.021000,-7.121000, 3.069000, 14.451800, 0.309600,
b'Gaia DR2 5255366105621952384', 0.037859, 157.178369,-58.783919, 0.198000, 0.017400,-6.864000, 3.731000, 13.543600, 0.479600,
b'Gaia DR2 5255365452786812928', 0.038800, 157.139433,-58.853116, 0.088500, 0.023500,-5.173000, 2.640000, 14.685800, 0.440100,
b'Gaia DR2 5255364692542027904', 0.039052, 157.148243,-58.856240, 0.373400, 0.034000,-7.177000, 3.074000, 12.317700, 0.095100,
b'Gaia DR2 5255365452786809728', 0.040291, 157.132062,-58.851962, 1.387500, 0.029200,-7.567000, 0.495000, 7.163300, 0.659500, 12.810000
b'Gaia DR2 5255365727664730624', 0.044794, 157.097027,-58.824014, 0.928600, 0.026100,-11.231000, 9.200000, 14.954200, 0.347700,
b'Gaia DR2 5255365521506293632', 0.045445, 157.096767,-58.829008, 0.576500, 0.020300,-8.141000, 6.178000, 13.826600, 0.332400,
