DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5338660502354794880', 0.020609, 166.456117,-58.703306, 2.080400, 0.042100,-9.576000, 5.564000, 9.551600, 0.059500,
b'Gaia DR2 5338661838036152832', 0.024403, 166.419158,-58.731405, 2.088100, 0.049000,-9.230000, 5.151000, 8.666800, 0.059900,
b'Gaia DR2 5338661808024777856', 0.028202, 166.387032,-58.730511, 2.033200, 0.063200,-10.449000, 4.998000, 8.905600, 0.035100,
b'Gaia DR2 5338663869609445248', 0.031747, 166.440106,-58.677616, 2.076900, 0.043900,-10.031000, 5.033000, 7.920900, 0.509500, 3.660000
b'Gaia DR2 5338660330556069248', 0.033673, 166.462177,-58.731234, 1.935400, 0.042800,-10.310000, 5.084000, 9.234400, 0.053700,
b'Gaia DR2 5338660845952209920', 0.038571, 166.485899,-58.692526, 2.073900, 0.039500,-10.446000, 4.991000, 9.254600, 0.049400,
b'Gaia DR2 5338660227476877056', 0.044072, 166.494749,-58.724832, 2.206800, 0.059900,-11.606000, 5.878000, 7.469600, 0.510000, 4.030000
b'Gaia DR2 5338660880311963776', 0.044886, 166.478080,-58.675235, 2.018600, 0.059000,-10.934000, 5.262000, 9.112200, 0.029300, 82.640000
b'Gaia DR2 5338660120049235072', 0.047986, 166.491191,-58.735717, 2.027300, 0.040400,-10.809000, 5.699000, 10.032900, 0.078500,
b'Gaia DR2 5338661704945529856', 0.049888, 166.407470,-58.756661, 2.110900, 0.046900,-10.527000, 4.605000, 9.874100, 0.047300,
b'Gaia DR2 5338661052110666880', 0.053010, 166.473005,-58.662672, 1.704400, 0.053400,-10.016000, 1.049000, 8.465800,-0.035100,
b'Gaia DR2 5338660674153534848', 0.054886, 166.515995,-58.687732, 2.080100, 0.037800,-10.183000, 5.256000, 7.192300, 0.558800, 4.760000
b'Gaia DR2 5338663697810672896', 0.054970, 166.328865,-58.676705, 2.015100, 0.041300,-10.536000, 5.482000, 9.543000, 0.032000,
b'Gaia DR2 5338658745659705344', 0.056827, 166.407962,-58.763655, 2.082100, 0.050700,-9.820000, 5.136000, 9.635700, 0.043400,
b'Gaia DR2 5338660777232758528', 0.060290, 166.522510,-58.681828, 1.972500, 0.044500,-10.268000, 5.004000, 9.495300, 0.057400,
b'Gaia DR2 5338661666237468032', 0.063046, 166.399646,-58.769420, 1.528600, 0.063200,-11.600000, 5.736000, 8.966700, 0.053100,
b'Gaia DR2 5338660704171443072', 0.064969, 166.540351,-58.696004, 1.933200, 0.051200,-10.504000, 4.610000, 9.823600, 0.063800,
b'Gaia DR2 5338660708513273856', 0.066824, 166.544299,-58.697079, 1.919100, 0.062600,-10.298000, 6.382000, 8.800200, 0.042800,
b'Gaia DR2 5338660807243994112', 0.071152, 166.534866,-58.670740, 2.014300, 0.053700,-9.774000, 5.483000, 9.848000, 0.034100,
b'Gaia DR2 5338659437202904960', 0.077023, 166.552901,-58.738041, 1.926500, 0.050500,-10.867000, 5.650000, 8.458700, 0.055900,
b'Gaia DR2 5338661533146770304', 0.079184, 166.327086,-58.770963, 2.041400, 0.051600,-8.480000, 3.666000, 9.642000, 0.053200,
b'Gaia DR2 5338662873176876544', 0.081837, 166.259681,-58.703693, 2.058600, 0.038600,-10.235000, 5.201000, 9.314200, 0.035800,
b'Gaia DR2 5338662976256102528', 0.082695, 166.263374,-58.685602, 2.014900, 0.036600,-10.133000, 5.618000, 9.531500, 0.055800,
b'Gaia DR2 5338659810811590144', 0.085794, 166.571786,-58.737147, 0.437100, 0.049900,-7.392000, 0.061000, 10.251700, 1.421700,-28.970000
b'Gaia DR2 5338664281926283904', 0.086478, 166.381110,-58.622594, 1.943300, 0.049000,-10.354000, 4.341000, 8.762300, 0.009700,
b'Gaia DR2 5338664281926284032', 0.088777, 166.380895,-58.620271, 1.946100, 0.040200,-10.453000, 5.685000, 9.432000, 0.051100,
b'Gaia DR2 5340162057273013248', 0.090665, 166.531145,-58.638438, 2.077800, 0.046100,-10.092000, 5.047000, 8.563700, 0.025700,
b'Gaia DR2 5338661425719301888', 0.091837, 166.319572,-58.783663, 2.007100, 0.053100,-10.751000, 4.950000, 8.549300, 0.013000,
b'Gaia DR2 5338659982610277248', 0.094622, 166.597784,-58.695077, 2.061000, 0.040100,-10.545000, 4.679000, 9.287400, 0.050000,
b'Gaia DR2 5338659368483430912', 0.096848, 166.585843,-58.748334, 2.019000, 0.045400,-9.997000, 5.290000, 9.769600, 0.056000,
b'Gaia DR2 5338662426500248576', 0.100105, 166.225736,-58.719017, 2.000700, 0.038000,-11.413000, 5.707000, 9.445000, 0.079800,
b'Gaia DR2 5338661460079038976', 0.100265, 166.283135,-58.779285, 2.098300, 0.056700,-9.676000, 4.701000, 9.323400, 0.040300,
b'Gaia DR2 5338663216774252800', 0.103074, 166.235189,-58.665967, 2.202600, 0.047900,-10.428000, 4.911000, 8.334700, 0.013800,
b'Gaia DR2 5340161163919802240', 0.103557, 166.609425,-58.679877, 2.013000, 0.045600,-10.375000, 5.037000, 9.787800, 0.053500,
b'Gaia DR2 5338662289061289472', 0.106129, 166.229835,-58.749615, 1.995300, 0.045900,-10.344000, 5.318000, 8.182500, 0.022000,
b'Gaia DR2 5338662632658665984', 0.108655, 166.208907,-58.717668, 1.460400, 0.035500,-11.046000,-11.685000, 7.324700, 0.927500, 27.190000
b'Gaia DR2 5340165355808070016', 0.109298, 166.419036,-58.597727, 1.878200, 0.050800,-10.628000, 3.864000, 9.839700, 0.048000,
b'Gaia DR2 5340161266999026944', 0.111194, 166.622030,-58.675023, 2.073600, 0.064400,-10.833000, 4.442000, 5.661700, 0.673000, 3.860000
b'Gaia DR2 5338658058464947200', 0.114110, 166.478827,-58.816567, 2.237100, 0.077200,-9.034000, 8.536000, 9.724400, 0.102500,
b'Gaia DR2 5338659162324993280', 0.116496, 166.613950,-58.763015, 2.030600, 0.041800,-11.114000, 5.649000, 8.951500, 0.087800,
b'Gaia DR2 5338657994094261888', 0.117388, 166.484833,-58.819045, 1.086500, 0.053400,-10.232000, 7.359000, 8.410000, 0.990400, 31.610000
b'Gaia DR2 5340162503949645824', 0.120368, 166.571554,-58.617394, 0.165100, 0.074700,-5.449000, 3.088000, 8.858500, 2.337300, 31.210000
b'Gaia DR2 5340165420189316096', 0.120890, 166.452431,-58.587536, 1.938900, 0.040600,-10.177000, 3.705000, 10.197000, 0.087400,
b'Gaia DR2 5338662735737873792', 0.121028, 166.185131,-58.695814, 1.696000, 0.067100,-10.374000, 4.062000, 8.634300, 0.055800,
b'Gaia DR2 5338657921025996416', 0.125445, 166.450611,-58.831259, 2.091200, 0.057300,-8.484000, 4.772000, 9.022100, 0.070500,
b'Gaia DR2 5338657684856139136', 0.125856, 166.555596,-58.810365, 1.736200, 0.064400,-10.376000, 3.899000, 8.823900, 0.036500,
b'Gaia DR2 5338659505922421120', 0.126179, 166.649390,-58.744163, 2.043100, 0.048800,-10.236000, 5.254000, 7.776800, 0.021100,
b'Gaia DR2 5338656203039071744', 0.126573, 166.241820,-58.795068, 1.285000, 0.483300,-12.956000, 5.882000, 8.305200, 0.025400,
b'Gaia DR2 5338658097172882304', 0.129282, 166.426840,-58.836208, 2.060700, 0.047900,-9.949000, 5.031000, 8.804900, 0.047700,
b'Gaia DR2 5338656207386937728', 0.129640, 166.249343,-58.803125, 2.026000, 0.040900,-10.450000, 5.426000, 9.325500, 0.058000,
b'Gaia DR2 5338709666791955072', 0.133527, 166.163502,-58.685380, 2.051700, 0.050200,-10.135000, 3.590000, 9.141000, 0.025500,
b'Gaia DR2 5338656684075397376', 0.138152, 166.154943,-58.730602, 2.032800, 0.043100,-11.132000, 5.339000, 9.743200, 0.052800,
b'Gaia DR2 5338709636773621888', 0.143990, 166.141009,-58.694278, 2.084500, 0.034200,-9.050000, 2.123000, 7.538900, 0.487100, 6.870000
b'Gaia DR2 5338658990526246400', 0.144377, 166.621128,-58.805209, 0.424100, 0.042600,-6.659000, 2.422000, 8.745200, 0.118600,
b'Gaia DR2 5338656477916975360', 0.146028, 166.172114,-58.778908, 0.067500, 0.038800,-7.042000, 2.044000, 9.852500, 0.467200,
