DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5309623667225938048', 0.000985, 145.629515,-52.427800,-0.225600, 0.307300,-5.771000, 5.260000, 19.354200, 0.778600,
b'Gaia DR2 5309623671535790976', 0.001195, 145.628533,-52.429219, 0.277800, 0.148400,-3.241000, 4.009000, 18.203000, 1.714800,
b'Gaia DR2 5309623843319984000', 0.001347, 145.625864,-52.427635,-0.168900, 0.084100,-3.253000, 4.095000, 16.685000, 2.248500,
b'Gaia DR2 5309623637161552256', 0.001868, 145.626878,-52.429826, 0.180700, 0.285000,-6.349000, 4.793000, 19.344200, 0.866100,
b'Gaia DR2 5309623877694221440', 0.002042, 145.625190,-52.426891, 0.345400, 0.062200,-2.362000,-1.911000, 16.911200, 0.864200,
b'Gaia DR2 5309623671521294464', 0.002275, 145.629773,-52.426093, 0.403800, 0.226200,-3.598000, 4.244000, 19.025900, 1.986700,
b'Gaia DR2 5309623839031471872', 0.002805, 145.624144,-52.429649, 1.299400, 0.282000,-4.598000, 5.013000, 19.417300, 0.809100,
b'Gaia DR2 5309623637176051584', 0.003018, 145.625236,-52.430593, 0.374300, 0.116500,-6.380000, 3.774000, 18.154600, 0.937900,
b'Gaia DR2 5309623843334482304', 0.003036, 145.623062,-52.427507,-0.178500, 0.140300,-3.647000, 3.893000, 18.165200, 1.958200,
b'Gaia DR2 5309623873384367872', 0.003401, 145.624375,-52.425483,-0.195100, 0.165300,-5.464000, 5.525000, 18.652600, 1.143600,
b'Gaia DR2 5309623667225939584', 0.003700, 145.630134,-52.424622, 0.204700, 0.223800,-4.157000, 3.484000, 19.041800, 1.808800,
b'Gaia DR2 5309623873391210752', 0.003987, 145.629003,-52.424142, 0.346200, 0.206800,-3.646000, 3.771000, 19.002400, 1.790300,
b'Gaia DR2 5309623667225935360', 0.004686, 145.635370,-52.426854,-0.101600, 0.193800,-3.912000, 5.316000, 18.632200, 1.804200,
b'Gaia DR2 5309623671535793408', 0.005328, 145.636687,-52.427883, 0.065200, 0.123700,-3.772000, 3.521000, 17.930300, 1.823100,
b'Gaia DR2 5309623839024617984', 0.005508, 145.621238,-52.431762, 0.112700, 0.096500,-3.721000, 3.974000, 17.564700, 2.053900,
b'Gaia DR2 5309623667225926528', 0.005521, 145.636037,-52.430566, 0.261100, 0.238600,-3.531000, 3.983000, 19.027000, 1.691700,
b'Gaia DR2 5309623667232781568', 0.006233, 145.638098,-52.428778, 0.108000, 0.183200,-2.280000, 0.589000, 18.865100, 0.854800,
b'Gaia DR2 5309623671535794560', 0.006319, 145.637906,-52.426311, 0.358600, 0.112200,-3.985000, 3.648000, 17.589400, 1.914900,
b'Gaia DR2 5309623667225941120', 0.006854, 145.636174,-52.423402, 0.649900, 0.150500,-3.632000, 3.349000, 18.367300, 2.017000,
b'Gaia DR2 5309623873385075200', 0.007555, 145.628496,-52.420530,-0.046800, 0.268000,-4.376000, 3.959000, 19.128100, 1.500600,
b'Gaia DR2 5309623632866179200', 0.007580, 145.628637,-52.435647, 0.129800, 0.162700,-3.124000, 3.983000, 18.491500, 1.771500,
b'Gaia DR2 5309623637176232448', 0.007879, 145.622398,-52.435186, 0.246300, 0.065300,-5.809000, 3.501000, 16.391300, 1.638200,
b'Gaia DR2 5309623632873042304', 0.008107, 145.629860,-52.436100, 0.242600, 0.139300,-3.840000, 3.703000, 18.339100, 1.975600,
b'Gaia DR2 5309623843334481920', 0.008457, 145.615240,-52.424695, 0.439800, 0.027500,-4.404000, 1.391000, 15.378100, 0.794500,
b'Gaia DR2 5309623877694226176', 0.008693, 145.630710,-52.419545, 0.096000, 0.075100,-3.468000, 3.109000, 16.763600, 1.634000,
b'Gaia DR2 5309623843319982208', 0.009389, 145.614272,-52.423774, 0.334500, 0.227900,-4.681000, 2.659000, 19.062400, 0.864700,
b'Gaia DR2 5309623843334480768', 0.009508, 145.612283,-52.428037, 1.256100, 0.133600, 7.324000,-13.147000, 17.711500, 1.130500,
b'Gaia DR2 5309623671535794176', 0.009544, 145.643252,-52.430164, 0.272200, 0.081100,-6.568000, 6.589000, 17.473500, 0.996000,
b'Gaia DR2 5309623839035993216', 0.010033, 145.611661,-52.426713, 0.099500, 0.136800,-4.684000, 4.135000, 18.212800, 1.939400,
b'Gaia DR2 5309623667232782080', 0.010531, 145.640617,-52.435231,-0.392900, 0.344300,-3.507000, 2.430000, 19.686900, 1.360200,
b'Gaia DR2 5309623671535793024', 0.010536, 145.644124,-52.431792, 0.165700, 0.072500,-3.733000, 3.737000, 16.365800, 2.167600,
b'Gaia DR2 5309623839024620288', 0.010625, 145.611002,-52.430538, 0.423000, 0.153600,-3.730000, 3.629000, 18.370700, 1.863800,
b'Gaia DR2 5309623667225917056', 0.010694, 145.639978,-52.435888, 0.280400, 0.089600,-7.462000, 5.957000, 17.681100, 1.128600,
