DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5237909846687984256', 0.002392, 166.202077,-67.947852, 0.119300, 0.062200,-9.738000, 4.513000, 16.500700, 0.391000,
b'Gaia DR2 5237909846688317952', 0.003530, 166.187421,-67.949667, 0.464500, 0.058000,-3.995000, 0.624000, 16.922800, 0.465000,
b'Gaia DR2 5237909846687986304', 0.004074, 166.206629,-67.947478, 0.511600, 0.020200,-8.598000, 4.724000, 14.730100, 0.363200,
b'Gaia DR2 5237909846687979264', 0.004312, 166.202315,-67.952957, 0.370900, 0.030300,-7.765000, 2.100000, 15.309000, 0.382300,
b'Gaia DR2 5237909846687979648', 0.004570, 166.184921,-67.948154, 0.509900, 0.024300,-8.726000, 1.839000, 15.212600, 0.385500,
b'Gaia DR2 5237909846688318336', 0.005047, 166.193651,-67.944263, 0.214800, 0.017500,-2.291000, 1.472000, 14.370600, 0.639700,
b'Gaia DR2 5237909842372403072', 0.005305, 166.201196,-67.944141,-0.004700, 0.057900,-4.761000, 1.021000, 16.863400, 0.624000,
b'Gaia DR2 5237909846688318592', 0.005361, 166.196515,-67.943831, 0.278500, 0.029000,-10.894000, 4.698000, 15.600700, 0.350300,
b'Gaia DR2 5237909842372261504', 0.007434, 166.199175,-67.956549, 0.140900, 0.056100,-6.309000, 0.023000, 16.826500, 0.474600,
b'Gaia DR2 5237909846687976832', 0.007481, 166.176908,-67.949738, 0.273000, 0.047700,-8.473000, 4.864000, 15.956000, 0.629200,
b'Gaia DR2 5237909640529550336', 0.007651, 166.211813,-67.954330, 0.686800, 0.039000,-5.240000, 1.619000, 16.163400, 0.475000,
b'Gaia DR2 5237908369219223808', 0.009052, 166.195159,-67.958203, 0.467700, 0.040300,-12.189000, 0.443000, 16.181100, 0.449000,
b'Gaia DR2 5237908369219567872', 0.009058, 166.182190,-67.956402, 0.431000, 0.030700,-6.947000, 2.737000, 15.576300, 0.393700,
b'Gaia DR2 5237908369219224320', 0.009759, 166.171611,-67.951704, 0.586100, 0.025400,-3.070000, 1.373000, 15.058600, 0.389000,
b'Gaia DR2 5237909876732195712', 0.010371, 166.210153,-67.940109, 0.641100, 0.035900,-9.687000, 3.728000, 14.415200, 0.264500,
b'Gaia DR2 5237909881047729664', 0.010667, 166.198219,-67.938528, 0.390300, 0.049000,-5.062000, 2.280000, 16.664700, 0.424500,
b'Gaia DR2 5237909640529556608', 0.010669, 166.224658,-67.951215, 0.122800, 0.024500,-6.251000, 3.562000, 15.232100, 0.749500,
b'Gaia DR2 5237909674889301888', 0.010917, 166.218346,-67.941844, 0.847500, 0.022400,-11.394000, 2.200000, 15.061100, 0.400600,
b'Gaia DR2 5237909640529553792', 0.011020, 166.223664,-67.953513, 0.771100, 0.029800, 0.134000,-0.036000, 15.603500, 0.460800,
b'Gaia DR2 5237909640529548416', 0.011744, 166.217726,-67.957894, 0.305000, 0.040200,-6.500000, 1.613000, 16.186000, 0.343900,
b'Gaia DR2 5237908369219224960', 0.012521, 166.163382,-67.949166, 0.129800, 0.041200,-4.225000, 2.172000, 16.296400, 0.645900,
b'Gaia DR2 5237909915407454464', 0.012623, 166.164926,-67.945125, 0.288800, 0.029600,-6.505000, 3.079000, 15.618100, 0.610500,
b'Gaia DR2 5237909846687982976', 0.013219, 166.168945,-67.941094, 0.205700, 0.049000,-8.626000, 3.490000, 16.661200, 0.589900,
b'Gaia DR2 5237909674889300480', 0.013420, 166.231779,-67.946504, 0.914300, 0.023900,-6.038000, 2.256000, 15.214800, 0.433300,
b'Gaia DR2 5237909881047728640', 0.014344, 166.182766,-67.935829, 0.378700, 0.035600,-4.596000, 1.839000, 16.049600, 0.613900,
b'Gaia DR2 5237908437938703104', 0.015376, 166.157275,-67.945138, 0.222700, 0.047700,-9.395000, 0.142000, 16.551000, 0.506000,
b'Gaia DR2 5237909915407453824', 0.015518, 166.157530,-67.944305, 0.260800, 0.038800,-7.198000, 2.525000, 16.144600, 0.331300,
b'Gaia DR2 5237909881047731712', 0.015532, 166.185838,-67.934183, 0.397900, 0.027500,-2.958000,-0.541000, 15.525600, 0.342600,
b'Gaia DR2 5237909640518255744', 0.015895, 166.219930,-67.962474, 0.699800, 0.029000,-4.684000, 0.791000, 15.375000, 0.375500,
b'Gaia DR2 5237908163060794624', 0.016278, 166.218767,-67.963222, 0.153700, 0.023900,-9.782000, 3.778000, 15.015200, 0.674100,
b'Gaia DR2 5237908369219219072', 0.016315, 166.194160,-67.965470, 0.619500, 0.039100,-7.184000, 3.008000, 16.108500, 0.441600,
b'Gaia DR2 5237909674889297152', 0.016495, 166.239921,-67.952236, 0.227100, 0.017400,-5.307000, 0.201000, 14.141600, 0.667100,
b'Gaia DR2 5237909777968522496', 0.016804, 166.231063,-67.938415, 1.093400, 0.028400,-3.740000, 5.128000, 15.536600, 0.464600,
b'Gaia DR2 5237909881047737472', 0.016990, 166.205960,-67.932545, 0.354100, 0.062200,-10.897000, 2.995000, 16.372500, 0.425600,
b'Gaia DR2 5237909881047731328', 0.017581, 166.179555,-67.932832, 0.085400, 0.037600,-5.423000, 3.307000, 16.161800, 0.657800,
b'Gaia DR2 5237909881047733120', 0.018119, 166.184541,-67.931650, 0.071900, 0.030300,-4.423000, 2.310000, 15.652900, 0.792100,
