DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5309322920748048896', 0.000729, 146.839086,-53.504616,-0.312700, 0.368800,-3.758000, 3.364000, 19.169900, 0.741500,
b'Gaia DR2 5309322920732954880', 0.000840, 146.837474,-53.504197, 0.843600, 0.335900,-4.986000, 1.923000, 19.021100, 0.946000,
b'Gaia DR2 5309322920748049024', 0.001126, 146.837082,-53.503418, 0.127900, 0.079300,-3.873000, 2.870000, 15.966500, 1.941800,
b'Gaia DR2 5309229084296042368', 0.002085, 146.835314,-53.503862, 1.014900, 0.416800,-7.842000, 4.049000, 19.331700, 0.504000,
b'Gaia DR2 5309322920748050048', 0.002815, 146.843224,-53.504935, 0.403700, 0.019100,-7.373000, 4.506000, 13.435700, 0.235700,
b'Gaia DR2 5309229079995689984', 0.003111, 146.833780,-53.503041, 0.223200, 0.114900,-5.627000, 3.736000, 17.749900, 0.718800,
b'Gaia DR2 5309229084311002752', 0.003127, 146.834745,-53.505897, 0.309500, 0.064500,-5.989000, 3.651000, 16.614600, 0.553300,
b'Gaia DR2 5309322920732964096', 0.003165, 146.843619,-53.502573,-0.105000, 0.149500,-4.933000, 3.751000, 18.165600, 1.586600,
b'Gaia DR2 5309322916437773184', 0.003279, 146.841075,-53.500913, 0.447200, 0.149000,-6.428000, 1.695000, 18.236700, 0.527900,
b'Gaia DR2 5309322920748150016', 0.003279, 146.835712,-53.501196, 0.329300, 0.067200,-5.996000, 3.807000, 16.757400, 0.569400,
b'Gaia DR2 5309322920732955136', 0.003397, 146.842577,-53.506443, 0.649200, 0.410400,-3.010000, 2.361000, 19.104500, 0.113000,
b'Gaia DR2 5309322920732954624', 0.003793, 146.842147,-53.507130, 0.256700, 0.108300,-3.140000, 3.092000, 17.124400, 0.808200,
b'Gaia DR2 5309322920732966016', 0.003875, 146.844213,-53.501763, 0.101100, 0.305200,-4.116000, 3.640000, 19.044400, 0.767900,
b'Gaia DR2 5309229084296040832', 0.003973, 146.836620,-53.507664, 0.173000, 0.104600,-4.060000, 2.799000, 17.139300, 1.542700,
b'Gaia DR2 5309322920733293824', 0.004028, 146.837324,-53.499972, 0.116100, 0.227700,-4.689000, 2.215000, 18.809600, 0.967800,
b'Gaia DR2 5309322916437988352', 0.004283, 146.841318,-53.507916, 0.188300, 0.167200,-4.637000, 2.611000, 18.190500, 0.927700,
b'Gaia DR2 5309229079998099072', 0.004323, 146.838788,-53.508231, 0.030000, 0.249700,-3.912000, 3.243000, 18.914900, 1.026500,
b'Gaia DR2 5309322916442624256', 0.004767, 146.845007,-53.506918,-0.225200, 0.156900,-4.513000, 2.825000, 18.183500, 1.036800,
b'Gaia DR2 5309229084296124032', 0.005355, 146.830021,-53.502683, 0.413700, 0.139300,-3.673000, 2.191000, 18.065100, 0.742200,
b'Gaia DR2 5309322916437988224', 0.005361, 146.846568,-53.506653, 0.399400, 0.122500,-8.823000, 3.307000, 17.860600, 0.780500,
b'Gaia DR2 5309229079998098432', 0.005377, 146.835767,-53.508973, 0.045200, 0.149700,-3.864000, 2.642000, 18.324000, 1.112800,
b'Gaia DR2 5309229079995686144', 0.005811, 146.830511,-53.500819, 0.511300, 0.214000,-3.664000, 2.842000, 18.757400, 0.985600,
b'Gaia DR2 5309322920748053120', 0.007625, 146.849428,-53.499637, 1.197300, 0.396500,-4.892000, 0.747000, 19.134400, 1.010100,
b'Gaia DR2 5309229286156526720', 0.007779, 146.825721,-53.503633, 0.733500, 0.344500,-4.322000, 3.541000, 19.176800, 1.190500,
b'Gaia DR2 5309229084311002240', 0.008016, 146.841674,-53.511739,-0.301600, 0.402500,-3.126000, 3.569000, 19.353600, 1.018300,
b'Gaia DR2 5309229084296036736', 0.008024, 146.827534,-53.508374,-0.094800, 0.494800, 1.834000, 4.412000, 19.178300, 0.862800,
b'Gaia DR2 5309322916437772672', 0.008037, 146.851869,-53.501880,-0.415200, 0.287700,-4.667000, 3.619000, 18.065700, 0.689800,
b'Gaia DR2 5309322916442624384', 0.008160, 146.846271,-53.510758,-0.000200, 0.219500,-5.565000, 4.442000, 18.717200, 1.122700,
b'Gaia DR2 5309229079995657216', 0.008770, 146.832451,-53.511825, 0.140300, 0.161500,-3.770000, 2.869000, 18.288900, 1.226300,
b'Gaia DR2 5309229079995660032', 0.008821, 146.845871,-53.511659,-0.050700, 0.198400,-4.165000, 3.207000, 18.749100, 1.114100,
b'Gaia DR2 5309322916437777408', 0.009052, 146.834834,-53.495164, 0.399800, 0.225700,-1.982000, 2.933000, 18.834800, 0.713300,
