Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;E(B-V);   Age;    pmRA;    pmDe;   RV   ; Reference           ;Aliases
22_Ori                ;Ori ; 80.34420030 ; -0.7484113 ;Op   ;OC    ;  277.0;    351;      ;      ;    1.29;   -0.39;        ; 2018AJ....156...84K ;?FoF 2376
2MASS-GC_1            ;Sgr ;272.09083300 ;-19.8297220 ;IR   ;GC    ;    3.3;   2387;  6.80; 10.10;    -0.7;   -2.57;        ; Alessi (Gaia DR2)   ;Hurt 1
2MASS-GC_2            ;Sgr ;272.40209900 ;-20.7788880 ;IR   ;GC    ;   12.6;   4420;  2.00; 10.00;   -1.97;   -3.72;        ; H. Baumgardt site   ;Hurt 2
AM_1                  ;Hor ; 58.76000000 ;-49.6150000 ;Op   ;GC    ;    1.3; 123200;      ; 10.00;    0.36;   -0.42;        ; 2019MNRAS.484.2832V ;E 1, ESO 201-10
AM_4                  ;Hya ;209.09042300 ;-27.1674990 ;Op   ;GC    ;    1.3;  33000;  0.05;  9.95;   -1.07;   -3.93;        ; H. Baumgardt site   ;AM 1353-265
ASCC_1                ;Cas ;  2.41300000 ;+62.7040000 ;Op   ;OC??  ;    5.2;   5092;  0.49;  8.41;    -2.4;   -0.69;  -69.70; Alessi (Gaia DR2)   ;
ASCC_10               ;Per ; 51.87000000 ;+34.9810000 ;Op   ;OC    ;   67.0;    685;  0.10;  8.35;   -1.74;   -1.37;        ; 2020A&A...633A..99C ;Alessi-Teutsch 9, Theia 557, UPK 332
ASCC_101              ;Lyr ;288.39900000 ;+36.3690000 ;Op   ;OC    ;   44.6;    402;      ;  8.31;    0.93;    1.29;        ; 2020A&A...633A..99C ;LeDrew 6, UPK 97
ASCC_105              ;Vul ;295.54800000 ;+27.3660000 ;Op   ;OC    ;   77.8;    561;  0.10;  8.00;    1.46;   -1.64;        ; 2020A&A...633A..99C ;TC 1943+2717, HD 186518 Grp, Theia 544, UPK 81, FoF 2423
ASCC_106              ;Aql ;295.32500000 ; +1.5920000 ;Op   ;OC    ;  155.5;    668;  0.31;  8.42;    0.46;   -2.33;        ; 2020A&A...633A..99C ;Alessi 44, ?UPK 49
ASCC_107              ;Vul ;297.16400000 ;+21.9870000 ;Op   ;OC    ;   20.9;    902;  0.20;  7.62;   -0.15;   -5.16;        ; 2020A&A...633A..99C ;UPK 75
