Name                  ;Cns ;Coordinates               ;Wv   ;Typ   ;    Diam;   Dist;    pmRA;    pmDe;    RV  ; Reference           ;Aliases
HD 224803 Grp         ;And ;00 00 13.0 +36 41 24      ;Op   ;***   ;   22.00;       ;        ;        ;        ; GDR2_Rej            ;
Riddle 9              ;And ;00 03 37.0 +48 22 20      ;Op   ;***   ;    0.80;       ;        ;        ;        ; GDR2_Rej            ;
HD 110 Grp            ;And ;00 07 31.0 +40 31 12      ;Op   ;***   ;   54.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 447               ;And ;00 10 23.0 +44 02 21      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
GSC 3251-1406 Grp     ;And ;00 12 25.0 +48 02 24      ;Op   ;***   ;    8.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J0012+4802
HD 1202 Grp           ;And ;00 16 48.0 +29 23 00      ;Op   ;***   ;   21.00;       ;        ;        ;        ; GDR2_Rej            ;
Lovro 2               ;And ;00 22 06.0 +24 49 00      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
TC 0027+4636          ;And ;00 27 31.0 +46 36 30      ;Op   ;***   ;   17.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 481               ;And ;00 28 56.2 +43 16 44      ;Op   ;***   ;   13.20;       ;        ;        ;        ; GDR2_Rej            ;
FSR 483               ;And ;00 29 07.0 +43 15 11      ;Op   ;***   ;    2.30;       ;        ;        ;        ; GDR2_Rej            ;
TC 0032+4328          ;And ;00 32 59.0 +43 28 30      ;Op   ;***   ;   71.00;       ;        ;        ;        ; GDR2_Rej            ;
32 And Grp            ;And ;00 40 47.0 +39 29 24      ;Op   ;***   ;   17.00;       ;        ;        ;        ; GDR2_Rej            ;
Monti 2               ;And ;00 42 48.0 +39 24 36      ;Op   ;***   ;   14.00;       ;        ;        ;        ; GDR2_Rej            ;SAO 54105 Grp
SAI 10                ;And ;00 43 03.2 +41 37 21      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
Monti 3               ;And ;00 44 44.0 +39 43 30      ;Op   ;***   ;   13.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 57           ;And ;00 47 27.0 +26 14 00      ;Op   ;***   ;    6.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5533             ;And ;00 48 23.3 +41 36 00      ;Op   ;***   ;   19.20;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 29          ;And ;00 48 43.0 +45 18 42      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 27          ;And ;00 50 22.0 +44 59 28      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
Prestgard 28          ;And ;00 50 25.0 +44 42 38      ;Op   ;***   ;    2.00;       ;        ;        ;        ; GDR2_Rej            ;
FSR 518               ;And ;00 51 14.4 +44 17 06      ;Op   ;***   ;   24.00;       ;        ;        ;        ; GDR2_Rej            ;
NGC 272               ;And ;00 51 26.0 +35 49 18      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
Saillon 1             ;And ;00 57 14.0 +35 08 00      ;Op   ;***   ;   33.00;       ;        ;        ;        ; GDR2_Rej            ;Vastagh 11
SAI 12                ;And ;01 04 24.1 +45 36 25      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 7267 Grp           ;And ;01 12 27.0 +41 06 24      ;Op   ;***   ;   31.00;       ;        ;        ;        ; GDR2_Rej            ;
Zannin 1              ;And ;01 12 30.0 +36 00 00      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;
TC 0119+4315          ;And ;01 19 08.0 +43 15 00      ;Op   ;***   ;    3.20;       ;        ;        ;        ; GDR2_Rej            ;GSC 2812-1942 Grp
MWSC 5558             ;And ;01 22 42.5 +37 57 54      ;Op   ;***   ;   19.20;       ;        ;        ;        ; GDR2_Rej            ;
Webb 3                ;And ;01 24 26.0 +39 02 30      ;Op   ;***   ;    4.00;       ;        ;        ;        ; GDR2_Rej            ;HD 8481 Grp
FSR 560               ;And ;01 27 59.3 +44 09 18      ;Op   ;***   ;   18.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 8907 Grp           ;And ;01 28 50.0 +42 31 48      ;Op   ;***   ;   33.00;       ;        ;        ;        ; GDR2_Rej            ;Santa 35
SAO 54746 Grp         ;And ;01 30 39.0 +34 08 12      ;Op   ;***   ;    5.00;       ;        ;        ;        ; GDR2_Rej            ;Saloranta J0130+3408
Foldvari 79           ;And ;01 32 46.0 +46 23 00      ;Op   ;***   ;    3.00;       ;        ;        ;        ; GDR2_Rej            ;
HD 9519 Grp           ;And ;01 34 23.0 +42 18 18      ;Op   ;***   ;   24.00;       ;        ;        ;        ; GDR2_Rej            ;
El Kanbi-Prestgard 11 ;And ;01 38 10.0 +44 52 10      ;Op   ;***   ;   12.00;       ;        ;        ;        ; GDR2_Rej            ;
Foldvari 1            ;And ;01 43 41.0 +48 23 06      ;Op   ;***   ;   30.00;       ;        ;        ;        ; GDR2_Rej            ;
Alessi J0146+4247     ;And ;01 46 04.0 +42 46 58      ;Op   ;***   ;   56.00;       ;        ;        ;        ; GDR2_Rej            ;
KVO 12                ;And ;01 47 56.0 +44 49 12      ;Op   ;***   ;   63.00;       ;        ;        ;        ; GDR2_Rej            ;
MWSC 5571             ;And ;01 51 44.9 +41 30 00      ;Op   ;***   ;   18.60;       ;        ;        ;        ; GDR2_Rej            ;
Harrington 14         ;And ;01 52 30.0 +37 30 00      ;Op   ;***   ;   95.00;       ;        ;        ;        ; GDR2_Rej            ;Golf Putter, Ramakers 1
