Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
Theia 125             ;Aql ;295.05423150 ; +0.3258102 ;Op   ;Str   ;  860.3;    594;    0.55;   -2.55;   -3.64; 2019AJ....158..122K ;contains Alessi 44, UPK 47, UPK 49
MAF 4                 ;Aqr ;356.28291700 ;-16.8644440 ;Op   ;Str   ;  900.0;    102;        ;        ;        ; arXiv:1901.06387v1  ;check - missing PMs
Ara OB1A A            ;Ara ;249.77622050 ;-49.0378940 ;Op   ;OC    ;  130.2;   1136;    0.82;   -3.94;        ; Alessi (Gaia DR2)   ;poss matches: NGC 6193, FoF 2313
Theia 54              ;Aur ; 75.67692560 ;+30.1930249 ;Op   ;Asc   ;  416.5;    160;    4.43;  -25.09;   10.72; 2019AJ....158..122K ;includes HMAC 1, HMAC 3
FoF 581               ;Aur ; 80.06126930 ;+39.3778547 ;Op   ;OC:   ;   39.1;   3333;    0.53;   -1.39;        ; arXiv:1910.12600v1  ;includes NGC 1857, Czernik 20
Theia 390             ;Aur ; 93.39143080 ;+41.5318553 ;Op   ;Str   ; 1752.1;    560;   -2.09;   -3.06;   -6.93; 2019AJ....158..122K ;many condensations
Theia 97              ;CMa ;100.51566080 ;-22.4659197 ;Op   ;Str   ; 2006.7;    393;   -5.37;    5.53;   26.09; 2019AJ....158..122K ;many condensations
Escorial 12           ;CMa ;105.67035880 ;-25.8283061 ;Op   ;OC    ;  285.3;    693;   -3.65;    3.60;        ; Alessi (Gaia DR2)   ;poss matches: 24 CMa, ASCC 32, UPK 477, Collinder 121
Theia 86              ;CMa ;105.86305600 ;-25.2208777 ;Op   ;Str   ;  697.3;    742;   -3.15;    4.57;   39.94; 2019AJ....158..122K ;many condensations
FoF 2082              ;CMa ;106.05606760 ;-11.4977457 ;Op   ;OC:   ;   67.0;   1134;   -4.31;    1.54;        ; arXiv:1910.12600v1  ;?FSR 1186, includes vdBergh 92
Collinder 121 Assoc   ;CMa ;106.54806440 ;-25.8983490 ;Op   ;OC    ;  571.2;    604;   -3.91;    4.07;        ; Alessi (Gaia DR2)   ;poss matches: Escorial 12, Escorial 10, Escorial 15, Theia 283, ASCC 32, UPK 477
Escorial 15           ;CMa ;108.72735740 ;-27.0681636 ;Op   ;OC    ;  161.0;    553;   -4.34;    4.01;        ; Alessi (Gaia DR2)   ;poss matches: 27 CMa, UPK 479, NGC 2354, UPK 477, Collinder 121
Escorial 18           ;CMa ;109.59043060 ;-24.4139037 ;Op   ;OC    ;  150.2;    971;   -3.74;    3.34;        ; Alessi (Gaia DR2)   ;poss matches: UPK 477, Theia 283
Theia 509             ;CMa ;111.43267350 ;-19.3213182 ;Op   ;Str   ; 3748.1;    137;   -6.75;   -6.09;   21.97; 2019AJ....158..122K ;larger than 1 radian
Theia 118             ;CMa ;111.46265730 ;-24.3838763 ;Op   ;Str   ; 4111.2;    283;  -13.34;    8.69;   31.91; 2019AJ....158..122K ;larger than 1 radian
Cam OB1               ;Cam ; 50.85111460 ;+58.5959258 ;Op   ;OC    ;  932.2;   1056;   -0.73;   -1.03;        ; Alessi (Gaia DR2)   ;poss matches: Theia 574, Theia 652, UPK 288
Cam OB3               ;Cam ; 60.52079800 ;+56.4845192 ;Op   ;OC    ;  140.4;   6173;    0.05;    0.24;        ; Alessi (Gaia DR2)   ;poss matches: FoF 2032, UBC 608
Theia 150             ;Car ;125.24642770 ;-55.2908108 ;Op   ;Str   ; 1915.6;    651;   -6.49;    7.65;   18.91; 2019AJ....158..122K ;many condensations
Theia 245             ;Car ;143.01018290 ;-71.6000991 ;Op   ;Str   ; 1608.8;    433;  -10.15;    8.35;   13.62; 2019AJ....158..122K ;check
Theia 599             ;Car ;144.00202090 ;-58.9144804 ;Op   ;Str   ; 2481.3;    235;  -26.08;   22.01;   15.36; 2019AJ....158..122K ;check
Theia 115             ;Car ;146.86526470 ;-59.3835846 ;Op   ;Str   ; 3549.5;    174;  -24.61;   13.09;   12.46; 2019AJ....158..122K ;larger than 1 radian
Theia 92              ;Car ;147.47142480 ;-59.7544425 ;Op   ;Str   ; 2759.3;    148;  -15.80;   11.18;   18.63; 2019AJ....158..122K ;many condensations
Theia 331             ;Car ;149.59941710 ;-57.8239451 ;Op   ;Str   ; 1443.2;    655;  -12.08;    3.88;    5.68; 2019AJ....158..122K ;many condensations
Car OB1B              ;Car ;159.37620460 ;-57.9478389 ;Op   ;OC    ;  184.3;   2865;   -7.22;    3.14;        ; Alessi (Gaia DR2)   ;poss matches: FoF 2092, UBC 258, FoF 1002, Loden 143, UBC 653, Loden 112, FoF 403
Car OB1C              ;Car ;159.48710860 ;-58.5575924 ;Op   ;OC    ;   56.9;   2959;   -6.83;    2.80;        ; Alessi (Gaia DR2)   ;poss matches: NGC 3324, UBC 653, FoF 1487
Car OB1E              ;Car ;161.39976800 ;-59.8004359 ;Op   ;OC    ;  133.6;   2924;   -6.63;    2.31;        ; Alessi (Gaia DR2)   ;check - many poss IDs
Car OB1-2             ;Car ;164.48674060 ;-60.1212409 ;Op   ;OC    ;   57.6;   3584;   -6.16;    2.10;        ; Alessi (Gaia DR2)   ;poss matches: FoF 1036, ASCC 63, FoF 129, FoF 1052, Pismis 17
FoF 129               ;Car ;164.53836890 ;-61.6191600 ;Op   ;OC?   ;  123.4;   4000;    8.83;   -5.90;    2.23; arXiv:1910.12600v1  ;many condensations
Feinstein 1           ;Car ;166.68000000 ;-59.8200000 ;Op   ;OB    ;   12.0;   1414;   -6.80;    1.32;  -13.40; 2013A&A...558A..53K ;includes FoF 1494, UBC 658
Car OB2               ;Car ;167.18406340 ;-60.3999719 ;Op   ;OC    ;  236.1;   2732;   -6.37;    1.54;        ; Alessi (Gaia DR2)   ;check - many poss IDs
Collinder 240         ;Car ;167.91666670 ;-60.3097222 ;Op   ;OB?   ;   32.0;   1577;        ;        ;        ; Alessi              ;contains Hogg 10, NGC 3572, Hogg 11
Cas OB4               ;Cas ;  6.20375910 ;+62.3944921 ;Op   ;OC    ;  297.1;   2778;   -2.77;   -0.83;        ; Alessi (Gaia DR2)   ;poss matches: FoF 1314, FoF 529, UBC 407, FoF 895, UBC 409, UBC 410, FoF 1826
LP 542                ;Cas ;  8.15432170 ;+63.1681803 ;Op   ;OC?   ;  124.9;   3367;   -2.56;   -0.54;        ; arXiv:1910.12600v1  ;includes several Cls
Cas OB7               ;Cas ; 13.07842480 ;+64.0321665 ;Op   ;OC    ;  250.0;   2976;   -2.23;   -0.48;        ; Alessi (Gaia DR2)   ;poss matches: FoF 2007, FoF 1864, FoF 1889, FoF 1888, FoF 1328, UBC 412
Cas OB1               ;Cas ; 16.61940930 ;+61.0982173 ;Op   ;OC    ;  225.5;   2545;   -1.58;   -0.71;        ; Alessi (Gaia DR2)   ;poss matches: FoF 1340, FoF 1888, FoF 1328
Cas OB8               ;Cas ; 25.87373320 ;+61.2141747 ;Op   ;OC    ;  182.2;   3030;   -1.14;   -0.32;        ; Alessi (Gaia DR2)   ;check - many poss IDs
Per OB1B              ;Cas ; 33.56212300 ;+59.6614797 ;Op   ;OC    ;   70.2;   2762;   -0.95;   -0.67;        ; Alessi (Gaia DR2)   ;poss matches: UBC 418, FoF 1338, UBC 419
Theia 51              ;Cas ; 39.28912390 ;+72.4097950 ;Op   ;Asc   ;  328.8;    907;   -1.31;   -1.69;  -15.43; 2019AJ....158..122K ;LDN 1340, includes Majaess 29, FoF 2361, UBC 415
